측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
영도구 남항동,다,준공업,일반,영도종합상가 앞,2022,4,64,39,76,67,65,48,40,38
영도구 남항동,다,준공업,일반,유성티엠주식회사 앞,2022,4,57,49,59,57,60,53,48,50
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2022,4,62,55,65,60,60,63,60,51
기장군 정관읍,나,일반주거,도로,EG더원,2022,4,65,59,65,66,66,66,62,57
기장군기장읍,나,일반주거,일반,대진아파트 앞,2022,2,53,49,53,54,54,53,51,48
기장군기장읍,나,일반주거,일반,유한빌라 앞,2022,2,58,54,56,59,59,61,57,52
기장군정관읍,나,일반주거,도로,EG더원,2022,2,67,64,69,66,68,67,66,62
기장군정관읍,나,일반주거,도로,LH아파트,2022,2,66,59,67,66,67,65,62,57
기장군 정관읍,나,일반주거,도로,LH아파트,2022,4,67,59,67,68,72,64,61,58
기장군 정관읍,나,일반주거,일반,동일스위트,2022,4,52,44,51,52,54,52,46,42
기장군 정관읍,나,일반주거,일반,이진캐스빌,2022,4,48,42,52,45,49,47,44,40
기장군 정관읍,나,일반주거,일반,하늘애,2022,4,53,45,53,55,54,53,44,47
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2022,4,63,57,63,63,63,64,59,56
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2022,4,64,64,64,66,65,64,68,60
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2022,4,57,55,57,57,57,60,55,55
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2022,4,61,58,59,63,61,64,62,54
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2022,4,54,45,54,57,55,50,48,42
중구대청공원,가,녹지,일반,도서관 앞,2022,1,66,65,66,71,65,64,63,67
중구대청공원,가,녹지,일반,동상 앞,2022,1,51,44,49,56,56,43,42,46
중구대청공원,가,녹지,일반,충혼탑입구,2022,1,58,55,57,64,58,54,58,52
중구대청공원,가,녹지,도로,시민아파트 앞,2022,1,64,58,65,65,65,63,60,57
중구대청공원,가,녹지,도로,시민헌장 앞,2022,1,56,51,56,63,55,53,52,50
부산진구개금2동백병원주변,가,종합병원,도로,개금2동새마을금고 앞,2022,1,63,55,64,64,64,62,58,53
부산진구개금2동백병원주변,가,종합병원,도로,주원초등학교 앞,2022,1,64,56,64,69,65,61,58,54
부산진구개금2동백병원주변,가,종합병원,일반,건강탕 앞,2022,1,70,74,70,72,71,70,71,77
부산진구개금2동백병원주변,가,종합병원,일반,고원아파트1동 107호 앞,2022,1,53,53,54,54,55,50,55,52
부산진구개금2동백병원주변,가,종합병원,일반,하성약국 옆,2022,1,55,50,56,57,56,52,51,50
강서구명지동,나,일반주거,도로,더웨스턴,2022,1,64,56,64,64,64,64,60,52
강서구명지동,나,일반주거,도로,퀸덤아파트,2022,1,65,58,64,65,66,66,63,54
강서구명지동,나,일반주거,일반,삼정그린코아,2022,1,63,57,62,64,64,64,56,59
강서구명지동,나,일반주거,일반,에덴하우스,2022,1,58,50,63,54,55,61,58,42
강서구명지동,나,일반주거,일반,협성휴포레,2022,1,54,44,54,54,54,54,48,41
기장군기장읍,나,일반주거,도로,기장FILA 앞,2022,1,67,64,67,69,68,67,67,61
기장군기장읍,나,일반주거,도로,초이스안경 앞,2022,1,70,65,69,72,70,70,68,63
기장군기장읍,나,일반주거,일반,678치킨 앞,2022,1,52,52,50,51,51,58,55,49
